Customer ID,Customer First Name,Customer Last Name,Segment,City,State,Country,Region,Age,,,,,,,,,
BB-04156,Brenda,Bowman,Consumer,Perth,Western Australia,Australia,Oceania,78,,,,,,,,,
BM-02856,Brendan,Murry,Home Office,Schwerin,MecklenburgVorpommern,Germany,Central,65,,,,,,,,,
BD-04947,Brendan,Dodson,Corporate,Adelaide,South Australia,Australia,Oceania,35,,,,,,,,,
BM-02896,Brendan,Murry,Home Office,Brahmapur,Odisha,India,Central Asia,34,,,,,,,,,
BS-04113,Brian,Stugart,Corporate,Jakarta,Jakarta,Indonesia,Southeast Asia,68,,,,,,,,,
BS-03084,Brian,Stugart,Corporate,Jakarta,Jakarta,Indonesia,Southeast Asia,29,,,,,,,,,
BD-04062,Brian,Dahlen,Consumer,Shantou,Guangdong,China,North Asia,43,,,,,,,,,
BD-04813,Brian,DeCherney,Home Office,Kendari,Sulawesi Tenggara,Indonesia,Southeast Asia,45,,,,,,,,,
BG-04722,Brooke,Gillingham,Corporate,Mysore,Karnataka,India,Central Asia,48,,,,,,,,,
BG-04655,Brooke,Gillingham,Home Office,Sunbury,Victoria,Australia,Oceania,52,,,,,,,,,
BG-04774,Brooke,Gillingham,Consumer,Geraldton,Western Australia,Australia,Oceania,61,,,,,,,,,
BG-04709,Brooke,Gillingham,Consumer,Weimar,Thuringia,Germany,Central,31,,,,,,,,,
BG-03815,Bruce,Geld,Corporate,Wollongong,New South Wales,Australia,Oceania,29,,,,,,,,,
BS-03099,Bryan,Spruell,Consumer,Bekasi,Jawa Barat,Indonesia,Southeast Asia,64,,,,,,,,,
BD-03866,Bryan,Davis,Corporate,Delhi,Delhi,India,Central Asia,25,,,,,,,,,
CM-04031,Candace,McMahon,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,47,,,,,,,,,
CM-04676,Cari,MacIntyre,Corporate,Suzhou,Anhui,China,North Asia,64,,,,,,,,,
CS-04692,Cari,Sayre,Corporate,Recklinghausen,North RhineWestphalia,Germany,Central,47,,,,,,,,,
CS-07236,Cari,Schnelling,Home Office,Agra,Uttar Pradesh,India,Central Asia,42,,,,,,,,,
CM-04016,Cari,MacIntyre,Consumer,Freiburg,BadenWŸrttemberg,Germany,Central,54,,,,,,,,,
CW-06480,Carl,Weiss,Consumer,Tianjin,Tianjin,China,North Asia,63,,,,,,,,,
CW-07883,Carl,Weiss,Corporate,Delhi,Delhi,India,Central Asia,65,,,,,,,,,
CS-07232,Carlos,Soltero,Home Office,Wodonga,Victoria,Australia,Oceania,60,,,,,,,,,
CT-05517,Carol,Triggs,Home Office,Durgapur,West Bengal,India,Central Asia,30,,,,,,,,,
CA-08013,Carol,Adams,Consumer,Cairns,Queensland,Australia,Oceania,59,,,,,,,,,
CJ-05337,Caroline,Jumper,Consumer,Xuzhou,Jiangsu,China,North Asia,61,,,,,,,,,
CB-08034,Cassandra,Brandow,Home Office,Hamburg,Hamburg,Germany,Central,38,,,,,,,,,
CG-06441,Catherine,Glotzbach,Consumer,Bochum,North RhineWestphalia,Germany,Central,74,,,,,,,,,
CH-06353,Cathy,Hwang,Corporate,Trier,RhinelandPalatinate,Germany,Central,56,,,,,,,,,
CH-05384,Cathy,Hwang,Consumer,Ballarat,Victoria,Australia,Oceania,38,,,,,,,,,
CS-05770,Charles,Sheldon,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia,42,,,,,,,,,
CS-05980,Charles,Sheldon,Consumer,Brisbane,Queensland,Australia,Oceania,59,,,,,,,,,
CM-05951,Charlotte,Melton,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,38,,,,,,,,,
CV-05397,Christina,VanderZanden,Corporate,Gold Coast,Queensland,Australia,Oceania,28,,,,,,,,,
CA-06233,Christine,Abelman,Corporate,Nasik,Maharashtra,India,Central Asia,72,,,,,,,,,
CM-07653,Christopher,Martinez,Corporate,Qingdao,Shandong,China,North Asia,78,,,,,,,,,
CB-06944,Christy,Brittain,Consumer,Depok,Jawa Barat,Indonesia,Southeast Asia,70,,,,,,,,,
CB-07054,Christy,Brittain,Home Office,Ajmer,Rajasthan,India,Central Asia,56,,,,,,,,,
CS-08000,Cindy,Schnelling,Corporate,Balikpapan,Kalimantan Timur,Indonesia,Southeast Asia,43,,,,,,,,,
CG-07772,Claire,Gute,Consumer,Shenzhen,Guangdong,China,North Asia,57,,,,,,,,,
CG-07695,Claire,Gute,Home Office,Worms,RhinelandPalatinate,Germany,Central,69,,,,,,,,,
CB-07633,Claudia,Bergmann,Home Office,Aschaffenburg,Bavaria,Germany,Central,54,,,,,,,,,
CC-06345,Clay,Cheatham,Home Office,Freiburg,BadenWŸrttemberg,Germany,Central,59,,,,,,,,,
CL-06572,Corey,Lock,Corporate,Geelong,Victoria,Australia,Oceania,60,,,,,,,,,
CM-06731,Corinna,Mitchell,Consumer,Augsburg,Bavaria,Germany,Central,76,,,,,,,,,
CL-05936,Craig,Leslie,Consumer,Wetzlar,Hesse,Germany,Central,42,,,,,,,,,
CC-06917,Craig,Carroll,Consumer,Suzhou,Gansu,China,North Asia,44,,,,,,,,,
CY-06866,Craig,Yedwab,Consumer,Aligarh,Uttar Pradesh,India,Central Asia,29,,,,,,,,,
CC-07430,Craig,Carroll,Consumer,Augsburg,Bavaria,Germany,Central,36,,,,,,,,,
CC-07364,Craig,Carreira,Consumer,Worms,RhinelandPalatinate,Germany,Central,74,,,,,,,,,
CD-05379,Cynthia,Delaney,Home Office,Wodonga,Victoria,Australia,Oceania,65,,,,,,,,,
CD-05428,Cynthia,Delaney,Consumer,Gold Coast,Queensland,Australia,Oceania,37,,,,,,,,,
CR-06173,Cyra,Reiten,Consumer,Samarinda,Kalimantan Timur,Indonesia,Southeast Asia,71,,,,,,,,,
CR-06245,Cyra,Reiten,Corporate,Srinagar,Jammu and Kashmir,India,Central Asia,28,,,,,,,,,
DK-08114,Damala,Kotsonis,Corporate,Berlin,Berlin,Germany,Central,57,,,,,,,,,
DC-07415,Dan,Campbell,Corporate,Perth,Western Australia,Australia,Oceania,70,,,,,,,,,
DK-09645,Dana,Kaydos,Home Office,Nagercoil,Tamil Nadu,India,Central Asia,55,,,,,,,,,
DR-08504,Daniel,Raglin,Home Office,Gold Coast,Queensland,Australia,Oceania,69,,,,,,,,,
DK-09934,Darren,Koutras,Home Office,Pune,Maharashtra,India,Central Asia,47,,,,,,,,,
DB-10380,Darren,Budd,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia,73,,,,,,,,,
DB-10390,Darren,Budd,Corporate,Regensburg,Bavaria,Germany,Central,33,,,,,,,,,
DP-08517,Darren,Powers,Corporate,Depok,Jawa Barat,Indonesia,Southeast Asia,67,,,,,,,,,
DB-10400,Darren,Budd,Corporate,Perth,Western Australia,Australia,Oceania,53,,,,,,,,,
DS-10318,Darrin,Sayre,Consumer,Duisburg,North RhineWestphalia,Germany,Central,42,,,,,,,,,
DM-09397,Darrin,Martin,Corporate,Berlin,Berlin,Germany,Central,50,,,,,,,,,
DH-08505,Dave,Hallsten,Corporate,Melbourne,Victoria,Australia,Oceania,40,,,,,,,,,
DP-09063,Dave,Poirier,Corporate,Suizhou,Hubei,China,North Asia,77,,,,,,,,,
DP-09101,Dave,Poirier,Consumer,Changchun,Jilin,China,North Asia,62,,,,,,,,,
DH-10549,Dave,Hallsten,Consumer,Coimbatore,Tamil Nadu,India,Central Asia,68,,,,,,,,,
DS-09325,David,Smith,Consumer,Surat,Gujarat,India,Central Asia,61,,,,,,,,,
DK-08333,David,Kendrick,Consumer,Kunming,Yunnan,China,North Asia,75,,,,,,,,,
DP-08955,David,Philippe,Consumer,Hamburg,Hamburg,Germany,Central,38,,,,,,,,,
DK-08425,Dean,Katz,Consumer,Changzhou,Jiangsu,China,North Asia,48,,,,,,,,,
DE-09464,Deanra,Eno,Corporate,Langen,Lower Saxony,Germany,Central,31,,,,,,,,,
DC-08897,Debra,Catini,Home Office,Zhengzhou,Henan,China,North Asia,54,,,,,,,,,
DC-10155,Debra,Catini,Home Office,Brisbane,Queensland,Australia,Oceania,49,,,,,,,,,
DG-08346,Deirdre,Greer,Corporate,Perth,Western Australia,Australia,Oceania,28,,,,,,,,,
DG-08293,Deirdre,Greer,Corporate,Bandung,Jawa Barat,Indonesia,Southeast Asia,53,,,,,,,,,
DL-08776,Delfina,Latchford,Home Office,Yogyakarta,Yogyakarta,Indonesia,Southeast Asia,25,,,,,,,,,
DL-08994,Denise,Leinenbach,Consumer,Bhiwandi,Maharashtra,India,Central Asia,57,,,,,,,,,
DP-08734,Dennis,Pardue,Corporate,Wollongong,New South Wales,Australia,Oceania,53,,,,,,,,,
DP-08348,Dennis,Pardue,Consumer,Townsville,Queensland,Australia,Oceania,68,,,,,,,,,
DP-09312,Dennis,Pardue,Home Office,Pekalongan,Jawa Tengah,Indonesia,Southeast Asia,77,,,,,,,,,
DO-08398,Denny,Ordway,Consumer,Berlin,Berlin,Germany,Central,59,,,,,,,,,
DW-08232,Dianna,Wilson,Consumer,Gold Coast,Queensland,Australia,Oceania,51,,,,,,,,,
DV-10040,Dianna,Vittorini,Corporate,Gold Coast,Queensland,Australia,Oceania,38,,,,,,,,,
DW-08246,Dianna,Wilson,Corporate,Pematangsiantar,Sumatera Utara,Indonesia,Southeast Asia,60,,,,,,,,,
DV-10089,Dianna,Vittorini,Corporate,Cottbus,Brandenburg,Germany,Central,33,,,,,,,,,
DL-10545,Dionis,Lloyd,Consumer,Kamarhati,West Bengal,India,Central Asia,62,,,,,,,,,
DW-09126,Don,Weiss,Home Office,Sydney,New South Wales,Australia,Oceania,31,,,,,,,,,
DW-08338,Dorothy,Wardle,Corporate,Sydney,New South Wales,Australia,Oceania,52,,,,,,,,,
DB-09952,Dorothy,Badders,Corporate,Nanning,Guangxi,China,North Asia,55,,,,,,,,,
DB-09222,Duane,Benoit,Consumer,Tamworth,New South Wales,Australia,Oceania,60,,,,,,,,,
DH-10042,Duane,Huffman,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia,69,,,,,,,,,
DH-08488,Duane,Huffman,Consumer,Perth,Western Australia,Australia,Oceania,68,,,,,,,,,
DN-08568,Duane,Noonan,Home Office,Durg,Chhattisgarh,India,Central Asia,35,,,,,,,,,
EB-09044,Ed,Braxton,Consumer,Bhatpara,West Bengal,India,Central Asia,70,,,,,,,,,
EK-11326,Eileen,Kiefer,Consumer,Hamm,North RhineWestphalia,Germany,Central,71,,,,,,,,,
EK-11541,Eileen,Kiefer,Consumer,Cologne,North RhineWestphalia,Germany,Central,43,,,,,,,,,
ER-11950,Elpida,Rittenbach,Corporate,Melbourne,Victoria,Australia,Oceania,76,,,,,,,,,
EB-10909,Emily,Burns,Corporate,Adelaide,South Australia,Australia,Oceania,52,,,,,,,,,
ED-12105,Emily,Ducich,Consumer,Lohne,Lower Saxony,Germany,Central,33,,,,,,,,,
EG-10872,Emily,Grady,Home Office,Pimpri,Maharashtra,India,Central Asia,33,,,,,,,,,
EB-12116,Emily,Burns,Consumer,Nasik,Maharashtra,India,Central Asia,39,,,,,,,,,
EB-11131,Emily,Burns,Consumer,Chennai,Tamil Nadu,India,Central Asia,60,,,,,,,,,
EB-11249,Eric,Barreto,Consumer,Liaoyang,Liaoning,China,North Asia,67,,,,,,,,,
ES-10835,Erica,Smith,Corporate,Halle,SaxonyAnhalt,Germany,Central,54,,,,,,,,,
EH-11722,Erica,Hackney,Consumer,Adelaide,South Australia,Australia,Oceania,29,,,,,,,,,
EH-11093,Erica,Hernandez,Consumer,Gold Coast,Queensland,Australia,Oceania,56,,,,,,,,,
EH-11736,Erica,Hackney,Consumer,Perth,Western Australia,Australia,Oceania,40,,,,,,,,,
ES-11183,Erin,Smith,Home Office,Yuci,Shanxi,China,North Asia,37,,,,,,,,,
ES-10759,Erin,Smith,Corporate,Bremen,Bremen,Germany,Central,27,,,,,,,,,
EM-10919,Eugene,Moren,Consumer,Patiala,Punjab,India,Central Asia,69,,,,,,,,,
EH-11852,Eugene,Hildebrand,Home Office,Liaocheng,Shandong,China,North Asia,47,,,,,,,,,
EH-10856,Eugene,Hildebrand,Consumer,Coffs Harbour,New South Wales,Australia,Oceania,42,,,,,,,,,
EB-11942,Eugene,Barchas,Consumer,Aksu,Xinjiang Uygur,China,North Asia,44,,,,,,,,,
EH-11738,Eugene,Hildebrand,Corporate,Sindelfingen,BadenWŸrttemberg,Germany,Central,46,,,,,,,,,
EB-11968,Evan,Bailliet,Consumer,Brisbane,Queensland,Australia,Oceania,52,,,,,,,,,
EB-11975,Evan,Bailliet,Corporate,Sydney,New South Wales,Australia,Oceania,69,,,,,,,,,
EH-11632,Evan,Henry,Home Office,Zhoukou,Henan,China,North Asia,66,,,,,,,,,
FM-11500,Filia,McAdams,Consumer,Lucknow,Uttar Pradesh,India,Central Asia,70,,,,,,,,,
FH-12285,Frank,Hawley,Corporate,Gold Coast,Queensland,Australia,Oceania,70,,,,,,,,,
FH-12299,Fred,Hopkins,Corporate,Sydney,New South Wales,Australia,Oceania,32,,,,,,,,,
FW-12497,Fred,Wasserman,Consumer,Willich,North RhineWestphalia,Germany,Central,39,,,,,,,,,
GH-12762,Gary,Hansen,Consumer,Dewas,Madhya Pradesh,India,Central Asia,53,,,,,,,,,
GZ-13435,Gary,Zandusky,Consumer,Aligarh,Uttar Pradesh,India,Central Asia,69,,,,,,,,,
GZ-13318,Gary,Zandusky,Consumer,Gold Coast,Queensland,Australia,Oceania,54,,,,,,,,,
GM-13125,Gary,Mitchum,Consumer,Mildura,Victoria,Australia,Oceania,30,,,,,,,,,
GA-13118,George,Ashbrook,Consumer,Jakarta,Jakarta,Indonesia,Southeast Asia,39,,,,,,,,,
GR-12955,Georgia,Rosenberg,Consumer,Srinagar,Jammu and Kashmir,India,Central Asia,53,,,,,,,,,
GW-12996,Giulietta,Weimer,Consumer,Suihua,Heilongjiang,China,North Asia,72,,,,,,,,,
GT-13440,Greg,Tran,Corporate,Recklinghausen,North RhineWestphalia,Germany,Central,52,,,,,,,,,
GH-13638,Greg,Hansen,Consumer,Canberra,Australian Capital Territory,Australia,Oceania,57,,,,,,,,,
GP-13684,Guy,Phonely,Home Office,Jodhpur,Rajasthan,India,Central Asia,43,,,,,,,,,
HR-13490,Hallie,Redmond,Home Office,Caloundra,Queensland,Australia,Oceania,35,,,,,,,,,
HP-13973,Harold,Pawlan,Consumer,Banda Aceh,Aceh,Indonesia,Southeast Asia,34,,,,,,,,,
HD-13590,Harold,Dahlen,Consumer,Melbourne,Victoria,Australia,Oceania,55,,,,,,,,,
HE-13958,Harold,Engle,Home Office,Chennai,Tamil Nadu,India,Central Asia,70,,,,,,,,,
HD-14575,Harold,Dahlen,Corporate,Jakarta,Jakarta,Indonesia,Southeast Asia,74,,,,,,,,,
HM-14576,Harry,Marie,Corporate,Dortmund,North RhineWestphalia,Germany,Central,54,,,,,,,,,
HM-14624,Harry,Marie,Consumer,Mataram,Nusa Tenggara Barat,Indonesia,Southeast Asia,75,,,,,,,,,
HK-14403,Heather,Kirkland,Consumer,Townsville,Queensland,Australia,Oceania,77,,,,,,,,,
HK-14435,Heather,Kirkland,Consumer,Luoyang,Guangdong,China,North Asia,45,,,,,,,,,
HA-14274,Helen,Abelman,Corporate,Berlin,Berlin,Germany,Central,79,,,,,,,,,
HA-14255,Helen,Abelman,Consumer,Munich,Bavaria,Germany,Central,49,,,,,,,,,
HA-14282,Helen,Abelman,Home Office,Mangalore,Karnataka,India,Central Asia,44,,,,,,,,,
HH-14026,Hilary,Holden,Corporate,Mysore,Karnataka,India,Central Asia,79,,,,,,,,,
HG-14062,Hunter,Glantz,Home Office,Panihati,West Bengal,India,Central Asia,38,,,,,,,,,
HL-14164,Hunter,Lopez,Corporate,Wollongong,New South Wales,Australia,Oceania,36,,,,,,,,,
HL-14173,Hunter,Lopez,Consumer,Cuttack,Odisha,India,Central Asia,49,,,,,,,,,
HL-14230,Hunter,Lopez,Corporate,Pekanbaru,Riau,Indonesia,Southeast Asia,74,,,,,,,,,
IM-14181,Ionia,McGrath,Home Office,Dormagen,North RhineWestphalia,Germany,Central,42,,,,,,,,,
IM-14851,Irene,Maddox,Consumer,Bhavnagar,Gujarat,India,Central Asia,28,,,,,,,,,
IG-14875,Ivan,Gibson,Corporate,Shanghai,Shanghai,China,North Asia,71,,,,,,,,,
IG-14857,Ivan,Gibson,Consumer,Perth,Western Australia,Australia,Oceania,80,,,,,,,,,
JG-14745,Jack,Garza,Home Office,Taiyuan,Shanxi,China,North Asia,52,,,,,,,,,
JL-14787,Jack,Lebron,Corporate,Erftstadt,North RhineWestphalia,Germany,Central,52,,,,,,,,,
JL-16135,Jack,Lebron,Consumer,Bremen,Bremen,Germany,Central,37,,,,,,,,,
JG-14751,Jack,Garza,Corporate,Oldenburg,Lower Saxony,Germany,Central,28,,,,,,,,,
JO-16019,Jack,O'Briant,Corporate,Jammu,Jammu and Kashmir,India,Central Asia,75,,,,,,,,,
JL-17398,James,Lanier,Corporate,Dortmund,North RhineWestphalia,Germany,Central,51,,,,,,,,,
JO-16901,Jas,O'Carroll,Corporate,Essen,North RhineWestphalia,Germany,Central,25,,,,,,,,,
JG-17500,Jason,Gross,Consumer,Sydney,New South Wales,Australia,Oceania,69,,,,,,,,,
JC-15796,Jenna,Caffey,Consumer,Kanpur,Uttar Pradesh,India,Central Asia,76,,,,,,,,,
JJ-15878,Jennifer,Jackson,Home Office,Queanbeyan,New South Wales,Australia,Oceania,78,,,,,,,,,
JH-14971,Jennifer,Halladay,Consumer,Krefeld,North RhineWestphalia,Germany,Central,55,,,,,,,,,
JH-14953,Jennifer,Halladay,Home Office,Bielefeld,North RhineWestphalia,Germany,Central,45,,,,,,,,,
JE-16485,Jeremy,Ellison,Corporate,Faridabad,Haryana,India,Central Asia,57,,,,,,,,,
JE-16318,Jeremy,Ellison,Corporate,Jammu,Jammu and Kashmir,India,Central Asia,48,,,,,,,,,
JM-17034,Jessica,Myrick,Consumer,Krefeld,North RhineWestphalia,Germany,Central,44,,,,,,,,,
JM-17073,Jessica,Myrick,Corporate,Jakarta,Jakarta,Indonesia,Southeast Asia,50,,,,,,,,,
JO-17549,Jesus,Ocampo,Home Office,Herten,North RhineWestphalia,Germany,Central,70,,,,,,,,,
JF-17155,Jill,Fjeld,Consumer,Wollongong,New South Wales,Australia,Oceania,54,,,,,,,,,
JS-15900,Jill,Stevenson,Consumer,Bengbu,Anhui,China,North Asia,71,,,,,,,,,
JE-17220,Jim,Epp,Corporate,Qingdao,Shandong,China,North Asia,32,,,,,,,,,
JK-17834,Jim,Karlsson,Consumer,Geelong,Victoria,Australia,Oceania,45,,,,,,,,,
JE-17272,Jim,Epp,Consumer,Jingmen,Hubei,China,North Asia,68,,,,,,,,,
JE-15587,Joel,Eaton,Corporate,Nuremberg,Bavaria,Germany,Central,78,,,,,,,,,
JL-16268,John,Lucas,Corporate,Beijing,Beijing,China,North Asia,66,,,,,,,,,
JG-15486,John,Grady,Home Office,Mianyang,Sichuan,China,North Asia,26,,,,,,,,,
JH-15315,John,Huston,Corporate,Jena,Thuringia,Germany,Central,80,,,,,,,,,
JC-15733,John,Castell,Home Office,Jakarta,Jakarta,Indonesia,Southeast Asia,47,,,,,,,,,
JG-15181,John,Grady,Corporate,Queanbeyan,New South Wales,Australia,Oceania,60,,,,,,,,,
JH-17795,Jonathan,Howell,Consumer,Guangshui,Hubei,China,North Asia,59,,,,,,,,,
JB-14934,Joy,Bell,Corporate,Tongchuan,Shaanxi,China,North Asia,42,,,,,,,,,
JB-14913,Joy,Bell,Corporate,Vijayawada,Andhra Pradesh,India,Central Asia,66,,,,,,,,,
JD-16405,Joy,Daniels,Consumer,Cairns,Queensland,Australia,Oceania,49,,,,,,,,,
JB-15460,Julia,Barnett,Home Office,Zhuhai,Guangdong,China,North Asia,71,,,,,,,,,
JD-17838,Julia,Dunbar,Home Office,Melbourne,Victoria,Australia,Oceania,27,,,,,,,,,
JD-15407,Julia,Dunbar,Corporate,Cologne,North RhineWestphalia,Germany,Central,75,,,,,,,,,
JP-15246,Julie,Prescott,Consumer,Norderstedt,SchleswigHolstein,Germany,Central,63,,,,,,,,,
JC-18019,Julie,Creighton,Consumer,Ballarat,Victoria,Australia,Oceania,70,,,,,,,,,
JC-18043,Julie,Creighton,Consumer,Bandung,Jawa Barat,Indonesia,Southeast Asia,53,,,,,,,,,
JD-15116,Justin,Deggeller,Consumer,Gawler,South Australia,Australia,Oceania,71,,,,,,,,,
JH-15313,Justin,Hirsh,Home Office,Surakarta,Jawa Tengah,Indonesia,Southeast Asia,64,,,,,,,,,
JH-15476,Justin,Hirsh,Home Office,Shangzhi,Heilongjiang,China,North Asia,45,,,,,,,,,
KD-18969,Karen,Daniels,Corporate,Jiutai,Jilin,China,North Asia,35,,,,,,,,,
KM-18537,Katherine,Murray,Consumer,Sydney,New South Wales,Australia,Oceania,69,,,,,,,,,
KB-19252,Katrina,Bavinger,Consumer,Melbourne,Victoria,Australia,Oceania,50,,,,,,,,,
KT-19180,Kean,Thornton,Consumer,Melbourne,Victoria,Australia,Oceania,73,,,,,,,,,
KT-19489,Kean,Takahito,Home Office,Jakarta,Jakarta,Indonesia,Southeast Asia,38,,,,,,,,,
KT-19190,Kean,Thornton,Corporate,Brisbane,Queensland,Australia,Oceania,44,,,,,,,,,
